Loser,Winner,Date
PS,NK,11/5/2015
PS,MS,11/5/2015
KS,PS,11/5/2015
ZL,HW,11/5/2015
PS,KT,11/5/2015
PS,HW,11/5/2015
PS,KZ,11/5/2015
PS,KT,15/5/2015
PS,HW,15/5/2015
ZF,HW,25/5/2015
KZ,HW,26/5/2015
KZ,HW,26/5/2015
KZ,HW,26/5/2015
ZF,HW,27/5/2015
ZF,HW,28/5/2015
ZF,HW,28/5/2015
ZG,FK,29/5/2015
ZG,SM,29/5/2015
SM,MS,29/5/2015
ZD,FK,29/5/2015
KS,SM,29/5/2015
KT,HW,1/6/2015
ZG,ZF,2/6/2015
KZ,SQ,6/6/2015
KZ,NK,6/6/2015
KZ,NK,11/6/2015
NK,KZ,11/6/2015
MS,HW,15/6/2015
MS,HW,20/6/2015
ZG,HW,20/6/2015
PS,MS,21/6/2015
KS,MS,21/6/2015
KS,MS,21/6/2015
PS,MS,21/6/2015
KS,MS,21/6/2015
KZ,HW,22/6/2015
KC,PS,23/6/2015
KZ,ZL,24/6/2015
KZ,ZL,24/6/2015
KS,KZ,24/6/2015
KS,KZ,24/6/2015
ZL,HW,26/6/2015
SQ,HW,29/6/2015
SM,HW,29/6/2015
ZF,HW,29/6/2015
SQ,KZ,29/6/2015
ZD,MS,29/6/2015
ZD,MS,29/6/2015
KZ,HW,29/6/2015
ZD,HW,29/6/2015
ZF,HW,30/6/2015
NK,HW,30/6/2015
ZF,HW,2/7/2015
ZF,HW,2/7/2015
ZD,ZF,2/7/2015
ZF,HW,2/7/2015
ZD,ZF,3/7/2015
ZF,HW,3/7/2015
ZF,NK,3/7/2015
ZF,HW,3/7/2015
KZ,HW,7/7/2015
ZL,HW,9/7/2015
PS,SQ,9/7/2015
KT,MS,10/7/2015
ZL,KT,10/7/2015
KT,MS,10/7/2015
ZD,KT,10/7/2015
NK,HW,11/7/2015
PS,NK,11/7/2015
SM,NK,11/7/2015
KC,HW,11/7/2015
PS,HW,11/7/2015
NK,HW,11/7/2015
PS,HW,11/7/2015
KT,HW,11/7/2015
ZL,HW,11/7/2015
KS,ZL,12/7/2015
KS,ZL,12/7/2015
NK,HW,14/7/2015
NK,HW,14/7/2015
KZ,NK,14/7/2015
KZ,NK,14/7/2015
KZ,NK,14/7/2015
ZF,FK,15/7/2015
ZF,HW,15/7/2015
NK,KT,15/7/2015
KZ,MS,16/7/2015
KZ,MS,16/7/2015
ZF,MS,16/7/2015
ZF,NK,16/7/2015
NK,ZL,16/7/2015
ZF,HW,16/7/2015
ZF,NK,16/7/2015
KT,HW,16/7/2015
ZF,HW,16/7/2015
KZ,HW,16/7/2015
ZG,HW,16/7/2015
SQ,HW,16/7/2015
MS,HW,16/7/2015
ZD,NK,16/7/2015
KS,NK,16/7/2015
ZD,NK,17/7/2015
NK,HW,17/7/2015
KZ,NK,17/7/2015
KS,NK,17/7/2015
KS,MS,18/7/2015
ZG,NK,20/7/2015
KZ,NK,20/7/2015
ZG,NK,20/7/2015
MS,HW,20/7/2015
ZD,KT,21/7/2015
ZD,KZ,21/7/2015
ZD,MS,21/7/2015
ZD,FK,21/7/2015
ZD,MS,21/7/2015
ZD,MS,21/7/2015
ZF,HW,22/7/2015
ZL,HW,22/7/2015
PS,HW,22/7/2015
PS,HW,22/7/2015
NK,HW,22/7/2015
JS,HW,22/7/2015
ZL,HW,22/7/2015
ZD,HW,22/7/2015
SQ,HW,22/7/2015
ZD,HW,22/7/2015
MS,HW,25/7/2015
KT,HW,25/7/2015
MS,HW,27/7/2015
ZL,FK,27/7/2015
KC,HW,27/7/2015
KS,FK,27/7/2015
KC,NK,27/7/2015
PS,FK,27/7/2015
FK,HW,27/7/2015
ZL,HW,29/7/2015
PS,HW,30/7/2015
KZ,NK,31/7/2015
NK,HW,31/7/2015
ZD,NK,31/7/2015
NK,HW,31/7/2015
NK,HW,31/7/2015
ZL,HW,1/8/2015
KC,ZL,1/8/2015
ZL,FK,1/8/2015
ZD,ZF,2/8/2015
KS,MS,4/8/2015
KZ,FK,5/8/2015
KC,MS,9/8/2015
KC,NK,9/8/2015
ZD,SM,11/8/2015
MS,PS,13/8/2015
KC,FK,15/8/2015
FK,HW,16/8/2015
FK,MS,16/8/2015
MS,FK,17/8/2015
FK,MS,17/8/2015
HW,FK,17/8/2015
SQ,ZF,17/8/2015
JS,HW,18/8/2015
PS,FK,19/8/2015
PS,FK,20/8/2015
KC,FK,20/8/2015
ZD,NK,20/8/2015
KS,SQ,21/8/2015
ZF,SQ,21/8/2015
PS,MS,21/8/2015
MS,HW,21/8/2015
MS,HW,21/8/2015
PS,MS,21/8/2015
ZF,HW,25/8/2015
SM,HW,25/8/2015
ZF,HW,25/8/2015
ZF,HW,25/8/2015
SM,HW,25/8/2015
SQ,HW,25/8/2015
KT,HW,25/8/2015
KZ,SQ,27/8/2015
KZ,KT,27/8/2015
PS,FK,28/8/2015
KZ,ZL,28/8/2015
ZD,FK,28/8/2015
KZ,KT,31/8/2015
KZ,HW,31/8/2015
KZ,HW,31/8/2015
KZ,MS,31/8/2015
KZ,NK,31/8/2015
KZ,HW,31/8/2015
NK,MS,31/8/2015
NK,FK,31/8/2015
KS,PS,1/9/2015
KS,PS,3/9/2015
KS,PS,3/9/2015
ZG,NK,7/9/2015
FK,SQ,7/9/2015
KS,ZL,9/9/2015
KS,ZL,9/9/2015
ZD,SQ,12/9/2015
PS,KT,14/9/2015
ZF,FK,14/9/2015
ZF,HW,14/9/2015
HW,KT,14/9/2015
ZF,HW,14/9/2015
ZF,HW,21/9/2015
PS,HW,21/9/2015
ZF,HW,21/9/2015
ZF,HW,21/9/2015
KT,HW,21/9/2015
ZF,HW,21/9/2015
NK,HW,21/9/2015
ZL,HW,23/9/2015
ZD,PS,23/9/2015
KZ,KT,29/9/2015
KC,KT,29/9/2015
KZ,KT,29/9/2015
ZG,HW,30/9/2015
SM,NK,30/9/2015
ZF,NK,30/9/2015
NK,HW,30/9/2015
KZ,NK,30/9/2015
SM,NK,30/9/2015
ZF,SM,3/10/2015
ZD,KZ,7/10/2015
KZ,HW,7/10/2015
KZ,FK,7/10/2015
ZL,HW,8/10/2015
KT,HW,8/10/2015
KT,HW,8/10/2015
ZF,HW,8/10/2015
ZF,HW,8/10/2015
PS,HW,8/10/2015
FK,HW,8/10/2015
ZL,HW,8/10/2015
ZL,HW,8/10/2015
KT,HW,8/10/2015
ZF,HW,8/10/2015
KZ,HW,8/10/2015
ZD,HW,8/10/2015
KZ,NK,10/10/2015
KZ,NK,10/10/2015
KC,NK,10/10/2015
KS,NK,10/10/2015
ZG,NK,10/10/2015
ZF,NK,10/10/2015
SM,NK,10/10/2015
KZ,HW,10/10/2015
HW,NK,10/10/2015
KZ,NK,11/10/2015
KZ,NK,11/10/2015
KZ,NK,11/10/2015
KZ,NK,11/10/2015
ZG,KZ,11/10/2015
ZD,FK,11/10/2015
ZL,FK,12/10/2015
PS,HW,13/10/2015
PS,HW,13/10/2015
KZ,ZF,14/10/2015
PS,HW,14/10/2015
KZ,NK,14/10/2015
KC,KZ,14/10/2015
KZ,NK,14/10/2015
KS,ZL,15/10/2015
KZ,SQ,15/10/2015
ZD,FK,15/10/2015
ZD,HW,16/10/2015
ZD,HW,16/10/2015
KZ,HW,16/10/2015
KZ,HW,16/10/2015
KZ,FK,16/10/2015
KZ,FK,16/10/2015
KZ,FK,16/10/2015
ZD,HW,19/10/2015
ZD,HW,19/10/2015
ZD,HW,19/10/2015
ZD,HW,19/10/2015
FK,HW,19/10/2015
ZD,HW,19/10/2015
ZD,PS,19/10/2015
KT,HW,19/10/2015
ZF,NK,21/10/2015
FK,HW,22/10/2015
KC,PS,22/10/2015
KC,NK,22/10/2015
KC,HW,22/10/2015
NK,HW,22/10/2015
NK,HW,22/10/2015
ZD,FK,23/10/2015
ZD,NK,23/10/2015
ZD,NK,23/10/2015
ZD,HW,23/10/2015
ZD,HW,23/10/2015
ZD,FK,23/10/2015
ZD,KT,23/10/2015
KS,ZL,25/10/2015
ZD,NK,28/10/2015
ZD,HW,28/10/2015
KZ,HW,30/10/2015
ZL,HW,30/10/2015
ZL,HW,30/10/2015
ZD,HW,30/10/2015
KT,HW,30/10/2015
ZL,HW,30/10/2015
KZ,SQ,31/10/2015
NK,HW,4/11/2015
NK,HW,4/11/2015
ZL,HW,4/11/2015
ZD,PS,7/11/2015
PS,FK,7/11/2015
MS,HW,8/11/2015
MS,HW,9/11/2015
SQ,HW,9/11/2015
ZD,HW,9/11/2015
ZG,HW,9/11/2015
PS,MS,9/11/2015
PS,MS,9/11/2015
PS,ZL,11/11/2015
NK,ZL,12/11/2015
ZD,MS,12/11/2015
ZD,NK,12/11/2015
SM,MS,12/11/2015
JS,HW,14/11/2015
KS,ZL,15/11/2015
ZG,HW,15/11/2015
KS,ZL,15/11/2015
KS,ZL,15/11/2015
ZL,MS,15/11/2015
SM,NK,15/11/2015
PS,NK,15/11/2015
ZG,HW,15/11/2015
ZG,HW,15/11/2015
PS,HW,15/11/2015
ZL,FK,15/11/2015
NK,HW,16/11/2015
ZG,PS,16/11/2015
KZ,HW,19/11/2015
KZ,NK,19/11/2015
KZ,NK,19/11/2015
ZD,HW,21/11/2015
ZD,FK,22/11/2015
ZL,HW,25/11/2015
ZD,HW,25/11/2015
PS,FK,26/11/2015
KT,HW,27/11/2015
KZ,FK,28/11/2015
KZ,SQ,28/11/2015
KZ,NK,28/11/2015
KZ,NK,29/11/2015
PS,FK,2/12/2015
JS,NK,2/12/2015
ZL,FK,2/12/2015
JS,NK,2/12/2015
ZD,HW,5/12/2015
ZF,HW,8/12/2015
JS,HW,8/12/2015
KT,HW,9/12/2015
JS,FK,10/12/2015
SM,NK,15/12/2015
SM,NK,15/12/2015
ZD,SM,21/12/2015
ZF,HW,28/12/2015
ZD,SQ,4/1/2016
ZD,MS,4/1/2016
ZD,KT,5/1/2016
ZD,KT,5/1/2016
KZ,KT,5/1/2016
KS,SQ,10/1/2016
ZF,SQ,10/1/2016
KZ,FK,13/1/2016
ZD,HW,14/1/2016
KS,HW,14/1/2016
ZD,HW,16/1/2016
NK,FK,16/1/2016
KZ,NK,16/1/2016
ZD,MS,16/1/2016
ZD,KZ,16/1/2016
PS,HW,16/1/2016
ZD,HW,16/1/2016
KS,ZL,17/1/2016
KS,ZL,17/1/2016
KZ,NK,21/1/2016
KZ,NK,21/1/2016
KS,KZ,24/1/2016
ZF,HW,25/1/2016
ZD,HW,25/1/2016
KS,HW,25/1/2016
ZF,HW,25/1/2016
JS,FK,2/2/2016
SM,NK,2/2/2016
NK,FK,2/2/2016
ZD,FK,2/2/2016
SM,MS,4/2/2016
SM,NK,4/2/2016
ZG,SM,4/2/2016
SM,NK,4/2/2016
ZL,HW,7/2/2016
JS,ZL,8/2/2016
JS,HW,8/2/2016
JS,ZL,8/2/2016
JS,HW,8/2/2016
JS,FK,8/2/2016
KZ,NK,8/2/2016
SM,NK,8/2/2016
JS,MS,8/2/2016
JS,MS,8/2/2016
KS,FK,9/2/2016
KC,NK,10/2/2016
KC,HW,10/2/2016
KC,HW,10/2/2016
KC,ZF,10/2/2016
KC,HW,10/2/2016
KC,SM,10/2/2016
KC,FK,10/2/2016
ZL,FK,11/2/2016
KZ,NK,11/2/2016
KZ,MS,11/2/2016
KZ,FK,11/2/2016
NK,SM,13/2/2016
JS,PS,19/2/2016
JS,HW,19/2/2016
JS,NK,19/2/2016
JS,SM,23/2/2016
JS,HW,23/2/2016
JS,MS,23/2/2016
JS,MS,23/2/2016
KZ,ZL,27/2/2016
KZ,HW,27/2/2016
PS,MS,7/3/2016
JS,PS,7/3/2016
JS,SQ,10/3/2016
ZF,FK,11/3/2016
PS,FK,14/3/2016
PS,HW,17/3/2016
SM,HW,18/3/2016
SM,HW,18/3/2016
PS,SM,18/3/2016
ZG,KT,20/3/2016
KS,ZL,21/3/2016
JS,MS,21/3/2016
ZF,HW,21/3/2016
PS,FK,22/3/2016
PS,FK,22/3/2016
PS,FK,22/3/2016
KZ,HW,23/3/2016
PS,MS,24/3/2016
JS,MS,24/3/2016
PS,MS,30/3/2016
KS,PS,31/3/2016
PS,HW,31/3/2016
KS,PS,31/3/2016
ZG,PS,31/3/2016
KC,FK,4/4/2016
PS,FK,4/4/2016
KS,PS,7/4/2016
KZ,FK,26/4/2016
HW,ZF,2/5/2016
KS,SM,3/5/2016
ZD,SM,3/5/2016
PS,FK,7/5/2016
PS,FK,7/5/2016
KS,FK,8/5/2016
ZD,KT,9/5/2016
SQ,HW,9/5/2016
JS,MS,10/5/2016
KT,HW,11/5/2016
PS,HW,11/5/2016
KZ,HW,11/5/2016
KZ,MS,18/5/2016
ZL,FK,19/5/2016
ZL,HW,19/5/2016
KZ,HW,27/5/2016
KS,MS,2/6/2016
PS,SM,8/6/2016
ZF,HW,13/6/2016
ZF,HW,13/6/2016
FK,HW,13/6/2016
KS,FK,13/6/2016
KS,FK,14/6/2016
ZD,KT,14/6/2016
ZD,MS,15/6/2016
KZ,SQ,15/6/2016
KC,MS,15/6/2016
KZ,SM,15/6/2016
KT,HW,15/6/2016
ZD,MS,15/6/2016
KZ,SM,15/6/2016
FK,HW,15/6/2016
SQ,HW,17/6/2016
ZF,HW,17/6/2016
KC,FK,17/6/2016
KT,HW,17/6/2016
ZF,HW,17/6/2016
FK,HW,17/6/2016
KC,FK,17/6/2016
KT,HW,18/6/2016
KC,SM,19/6/2016
ZD,MS,19/6/2016
PS,MS,19/6/2016
KC,MS,21/6/2016
JS,MS,21/6/2016
FK,HW,24/6/2016
ZF,HW,24/6/2016
FK,MS,27/6/2016
KZ,HW,27/6/2016
KC,HW,27/6/2016
FK,HW,27/6/2016
ZF,HW,27/6/2016
FK,HW,27/6/2016
ZD,PS,29/6/2016
FK,HW,29/6/2016
FK,HW,29/6/2016
ZD,PS,29/6/2016
KC,HW,29/6/2016
KZ,HW,29/6/2016
KC,HW,29/6/2016
KZ,HW,29/6/2016
KT,HW,29/6/2016
KZ,HW,29/6/2016
ZD,HW,29/6/2016
ZD,SM,2/7/2016
ZF,HW,2/7/2016
ZF,HW,2/7/2016
FK,HW,3/7/2016
KC,HW,3/7/2016
MS,HW,3/7/2016
KT,HW,3/7/2016
ZF,HW,3/7/2016
ZF,HW,3/7/2016
KC,MS,4/7/2016
ZF,MS,4/7/2016
KS,MS,7/7/2016
ZD,MS,7/7/2016
SM,HW,7/7/2016
KC,FK,11/7/2016
ZD,FK,11/7/2016
KC,FK,11/7/2016
KS,FK,11/7/2016
KC,FK,11/7/2016
FK,MS,11/7/2016
KC,KZ,11/7/2016
ZD,FK,11/7/2016
KC,KZ,11/7/2016
KS,KZ,11/7/2016
FK,KZ,11/7/2016
KC,FK,11/7/2016
FK,KZ,11/7/2016
FK,MS,11/7/2016
ZD,KZ,11/7/2016
KT,HW,16/7/2016
KC,KT,16/7/2016
JS,KT,16/7/2016
SQ,HW,16/7/2016
FK,HW,19/7/2016
KT,HW,19/7/2016
SM,HW,19/7/2016
SM,HW,19/7/2016
KZ,HW,19/7/2016
ZF,HW,19/7/2016
PS,FK,20/7/2016
KC,FK,20/7/2016
PS,FK,21/7/2016
PS,FK,21/7/2016
ZD,MS,26/7/2016
PS,MS,26/7/2016
MS,HW,26/7/2016
KT,HW,26/7/2016
FK,HW,26/7/2016
FK,HW,26/7/2016
KC,HW,28/7/2016
KS,HW,28/7/2016
KC,HW,28/7/2016
KS,HW,28/7/2016
KC,HW,28/7/2016
ZD,HW,28/7/2016
ZD,HW,28/7/2016
KC,HW,28/7/2016
KZ,HW,28/7/2016
KS,HW,28/7/2016
PS,HW,28/7/2016
KS,HW,29/7/2016
KS,HW,29/7/2016
KS,HW,29/7/2016
KZ,HW,29/7/2016
KS,HW,29/7/2016
KS,HW,29/7/2016
KT,HW,29/7/2016
ZD,HW,29/7/2016
PS,HW,29/7/2016
ZF,MS,30/7/2016
KC,SM,6/8/2016
SM,HW,8/8/2016
PS,FK,11/8/2016
JS,FK,11/8/2016
JS,FK,11/8/2016
JS,FK,11/8/2016
JS,FK,12/8/2016
JS,FK,13/8/2016
JS,FK,13/8/2016
JS,FK,13/8/2016
JS,SM,13/8/2016
KC,FK,15/8/2016
JS,SM,16/8/2016
KZ,ZL,17/8/2016
SM,HW,17/8/2016
KS,SM,19/8/2016
SM,KS,19/8/2016
ZD,FK,26/8/2016
ZD,HW,26/8/2016
ZD,HW,26/8/2016
KZ,FK,27/8/2016
KT,HW,4/9/2016
FK,HW,7/9/2016
SQ,HW,7/9/2016
KC,HW,7/9/2016
ZF,HW,7/9/2016
KC,HW,7/9/2016
FK,HW,7/9/2016
KC,HW,7/9/2016
KC,PS,8/9/2016
JS,HW,8/9/2016
JS,HW,8/9/2016
KC,HW,10/9/2016
JS,SM,10/9/2016
KZ,HW,11/9/2016
JS,HW,15/9/2016
SQ,MS,16/9/2016
SQ,MS,17/9/2016
KC,ZF,17/9/2016
MS,HW,25/9/2016
KC,JS,25/9/2016
KC,HW,25/9/2016
JS,MS,28/9/2016
ZL,FK,11/10/2016
FK,KS,11/10/2016
FK,HW,13/10/2016
KZ,FK,14/10/2016
KZ,FK,14/10/2016
JS,ZF,14/10/2016
JS,ZF,15/10/2016
KS,HW,17/10/2016
KZ,HW,18/10/2016
JS,FK,18/10/2016
KC,KT,19/10/2016
KC,FK,19/10/2016
KC,SQ,20/10/2016
FK,HW,21/10/2016
JS,FK,21/10/2016
FK,HW,21/10/2016
KZ,FK,21/10/2016
KC,FK,21/10/2016
KZ,KS,22/10/2016
KZ,HW,22/10/2016
KS,HW,23/10/2016
KZ,HW,23/10/2016
ZD,HW,23/10/2016
ZD,HW,23/10/2016
JS,FK,23/10/2016
JS,FK,23/10/2016
JS,FK,23/10/2016
FK,HW,23/10/2016
KS,HW,23/10/2016
ZD,FK,27/10/2016
FK,HW,27/10/2016
ZD,HW,29/10/2016
ZF,HW,1/11/2016
ZF,HW,1/11/2016
ZF,HW,1/11/2016
JS,HW,2/11/2016
JS,FK,2/11/2016
KZ,MS,7/11/2016
JS,MS,7/11/2016
ZD,MS,7/11/2016
KZ,HW,9/11/2016
KZ,SQ,9/11/2016
MS,HW,14/11/2016
KC,HW,14/11/2016
PS,HW,14/11/2016
ZF,HW,14/11/2016
KS,MS,18/11/2016
ZD,ZF,27/11/2016
KS,KZ,2/12/2016
KT,MS,3/12/2016
KZ,MS,3/12/2016
ZL,MS,7/12/2016
SQ,MS,7/12/2016
ZL,MS,7/12/2016
MS,ZL,7/12/2016
ZL,MS,7/12/2016
ZD,MS,7/12/2016
JS,ZL,7/12/2016
JS,MS,7/12/2016
ZL,MS,10/12/2016
KS,MS,10/12/2016
ZD,MS,10/12/2016
KZ,ZL,11/12/2016
KZ,HW,13/12/2016
KS,PS,14/12/2016
KC,FK,20/12/2016
KT,MS,29/12/2016
ZF,MS,30/12/2016
JS,MS,4/1/2017
JS,MS,4/1/2017
SQ,MS,4/1/2017
KC,SQ,4/1/2017
JS,SQ,4/1/2017
ZF,MS,7/1/2017
KZ,HW,7/1/2017
PS,HW,10/1/2017
ZD,HW,10/1/2017
JS,HW,20/1/2017
KC,HW,20/1/2017
KZ,FK,21/1/2017
JS,FK,21/1/2017
KC,SQ,23/1/2017
SM,HW,24/1/2017
JS,FK,29/1/2017
KC,ZF,2/2/2017
KC,ZF,2/2/2017
KT,MS,3/2/2017
KT,MS,3/2/2017
KZ,SQ,4/2/2017
KZ,ZF,4/2/2017
KZ,ZF,4/2/2017
HW,PS,8/2/2017
HW,KC,8/2/2017
KT,HW,8/2/2017
JS,HW,8/2/2017
JS,HW,8/2/2017
PS,FK,8/2/2017
KS,HW,9/2/2017
KT,HW,11/2/2017
ZF,HW,12/2/2017
ZF,HW,12/2/2017
FK,MS,14/2/2017
ZF,KT,14/2/2017
KZ,HW,14/2/2017
KZ,HW,14/2/2017
ZF,HW,14/2/2017
KS,MS,15/2/2017
ZD,MS,15/2/2017
ZF,MS,15/2/2017
ZD,MS,15/2/2017
ZD,MS,15/2/2017
JS,PS,16/2/2017
JS,ZL,17/2/2017
JS,HW,17/2/2017
KZ,HW,17/2/2017
JS,ZL,17/2/2017
JS,MS,17/2/2017
KZ,HW,17/2/2017
ZF,MS,17/2/2017
JS,FK,17/2/2017
JS,FK,17/2/2017
MS,HW,18/2/2017
ZL,HW,18/2/2017
KC,ZF,22/2/2017
HW,KS,23/2/2017
KS,HW,23/2/2017
KC,HW,25/2/2017
PS,HW,6/3/2017
PS,ZL,6/3/2017
PS,SM,7/3/2017
PS,SM,7/3/2017
PS,FK,7/3/2017
JS,KT,10/3/2017
JS,FK,10/3/2017
JS,FK,10/3/2017
JS,FK,10/3/2017
ZD,PS,10/3/2017
JS,ZF,10/3/2017
PS,FK,10/3/2017
KZ,HW,14/3/2017
JS,SQ,16/3/2017
KS,ZL,17/3/2017
KS,ZL,17/3/2017
KC,ZL,17/3/2017
JS,SQ,23/3/2017
JS,HW,23/3/2017
JS,FK,23/3/2017
JS,MS,23/3/2017
JS,MS,23/3/2017
JS,ZL,23/3/2017
KZ,HW,26/3/2017
JS,SM,28/3/2017
KC,HW,1/4/2017
KC,SM,1/4/2017
KC,ZL,1/4/2017
PS,HW,6/4/2017
PS,HW,6/4/2017
KS,PS,6/4/2017
JS,FK,12/4/2017
JS,SQ,12/4/2017
JS,FK,12/4/2017
JS,FK,13/4/2017
PS,FK,13/4/2017
KC,MS,22/4/2017
KT,HW,23/4/2017
KC,SQ,24/4/2017
JS,FK,6/5/2017
JS,SQ,6/5/2017
KC,FK,16/5/2017
KC,PS,16/5/2017
KZ,SQ,16/5/2017
KC,ZL,16/5/2017
ZF,HW,26/5/2017
ZF,HW,26/5/2017
ZD,SM,27/5/2017
KC,SM,27/5/2017
KC,SM,27/5/2017
KT,HW,29/5/2017
ZF,HW,30/5/2017
KC,MS,1/6/2017
KC,HW,1/6/2017
KC,MS,1/6/2017
KC,MS,5/6/2017
KC,MS,5/6/2017
KC,HW,5/6/2017
KC,FK,5/6/2017
KC,HW,5/6/2017
KC,FK,6/6/2017
KC,KZ,7/6/2017
